Fecha;Documento;Titulo;Observaciones
20/nov/2007;AC 120-94;Aircraft Electrical Wiring Interconnection Systems Training Program;FAA The objective of this EWIS training program is to give operators or maintenance repair organizations a model for developing their own EWIS training program. This training can benefit personnel whether such training is required by regulation or developed and adopted voluntarily by an organization. It will help ensure that proper processes, procedures, methods, techniques, and practices are used when performing maintenance, preventive maintenance, inspection, alteration, repair, and cleaning of EWIS.
20/may/2024;AC 20-158B;The Certification of Aircraft Electrical and Electronic Systems for Operation in the High-Intensity Radiated Fields (HIRF) Environment;This AC provides guidance for a new type certificate (TC) or a change to an existing TC when the certification basis requires you to address the HIRF certification requirements of §§ 23.1308 (Amendment 23-57), 23.2520 (Amendment 23-65), 25.1317, 27.1317, or § 29.1317.
28/oct/2010;AC 20-170;Integrated Modular Avionics Development. Verification, Integration and Approval using RTCA/DO-297 and Technical Standard Order C153;This advisory circular (AC) shows you how to obtain Federal Aviation Administration (FAA) airworthiness approval for the development, verification, and integration of an integrated modular avionics (IMA) system for installation into an aircraft or engine. We cite RTCA, Inc. document RTCA/DO-297, Integrated Modular Avionics (IMA) Development Guidance and Certification Considerations, dated November 8, 2005 and supplement it with this text. This AC also provides guidance on how to show compliance with Technical Standard Order (TSO)-C153, Integrated Modular Avionics Hardware Elements.
04/may/1977;AC 20-41A;Substitute Technical Standard Order (TSO) Aircraft Equipment;Sets forth an acceptable means for complying with rules governing aircraft equipment installations in cases involving the substitution of technical standard order equipment for functionally similar TSO approved equipment.
14/sep/2018;AC 20-62E;ELIGIBILITY, QUALITY, AND IDENTIFICATION OF AERONAUTICAL REPLACEMENT PARTS;Class I Product. A complete aircraft, aircraft engine, or propeller that has been type-certificated in accordance with the applicable regulations, and for which Federal Aviation Specifications or TC data sheets have been issued. Class II Product. A major component of a Class I product (e.g., wings, fuselages, empennage assemblies, landing gears, power transmissions, or control surfaces, etc.), the failure of which would jeopardize the safety of a Class I product, or any part, material, or appliance, approved and manufactured under the Technical Standard Order (TSO) system in the ‘‘C’’ series. Class III Product. Any part or component that is not a Class I or Class II product, including standard parts. Class III products are considered to be parts.
29/sep/2005;AC 23-13A;Fatigue, Fail-Safe, and Damage Tolerance Evaluation of Metallic Structure for Normal, Utility, Acrobatic, and Commuter Category Airplanes;Provides information and guidance concerning an acceptable means of demonstrating compliance with the requirements of Part 23 of the Federal Aviation Regulations (FAR) regarding fatigue and fail-safe evaluation of metallic airplane structure.
23/jun/2023;AC 29-2C;Certification of Transport Category Rotorcraft;Provide guidance on acceptable methods of compliance with 14 CFR Part 29, which outlines the airworthiness standards for the type certification of transport category rotorcraft.The AC serves the following primary functions:Means of Compliance: Provides established, though not mandatory, methods to show that a rotorcraft meets stringent safety and performance standards.Standardization: Establishes uniform procedures for Federal Aviation Administration (FAA) personnel and applicants during Type Certification (TC) and Supplemental Type Certification (STC) activities.Guidelines for Testing & Design: Offers detailed criteria for basic design, ground tests, flight tests, and structural integrity.Technological Updates: Provides miscellaneous guidance (MG) for newer aerospace technologies, such as Advanced Flight Controls (AdFC) and Automatic Flight Guidance and Control Systems (AFGCS).
08/sep/1998;AC 43.13-1B;Acceptable Methods, Techniques, and Practices - Aircraft Inspection and Repair;Prácticas Estándar para Reparaciones
03/mar/2008;AC 43.13-2B;Acceptable Methods, Techniques, and Practices - Aircraft Alterations;Prácticas Estándar para Modificaciones
03/feb/2006;ADS-44-HDBK;AERONAUTICAL DESIGN STANDARD HANDBOOK ARMAMENT AIRWORTHINESS QUALIFICATION FOR U.S. ARMY AIRCRAFT;This handbook provides guidelines for requirements to qualify an armament system for use on-board a U.S. Army air vehicle. Air vehicles include rotorcraft, fixed-wing aircraft, and unmanned aerial vehicles (UAV). Air vehicle and air platform are synonymous. The terms "armament" and "weapon" are used interchangeably in this handbook. Weaponization includes the addition of armament to the air vehicle and integration of the air vehicle and armament. The armament includes, as a minimum, explosive devices, guns, guided and unguided rockets, missiles, dispensed munitions, bombs, and directed energy weapons such as anti-sensor weapons and lasers. Additionally, the entire air vehicle is considered a weapon if there exists a purpose or intent to fly or direct the air platform into a target, e.g. a UAV. An armament that is fired from an airborne vehicle is normally considered to be a subsystem of the air vehicle. This document provides the requirements to fully qualify armament on a U.S. Army aircraft. See ADS-45-HDBK for the data and tests that are needed to obtain an Airworthiness Release (AWR) or Contractor Flight Release (CFR) for the testing of armament on U.S. Army aircraft. The Army organization that assesses the airworthiness, when the weapon system is mounted or used on an Army aircraft, is the Aviation Engineering Directorate (AED) in the Aviation and Missile Research, Development and Engineering Center (AMRDEC) at Redstone Arsenal, Alabama. This is so even when another agency is the proponent or materiel developer for a weapon such as a gun or ammunition.
19/dic/2005;ADS-45-HDBK;AERONAUTICAL DESIGN STANDARD: HANDBOOK DATA AND TEST PROCEDURES FOR AIRWORTHINESS RELEASE FOR U.S. ARMY HELICOPTER ARMAMENT TESTING;This handbook establishes guidelines for data and test procedures, that should be completed prior to the issuance of a Contractor Flight Release (CFR) or Airworthiness Release (AWR) to conduct flight testing of armament on U.S. Amy aircraft. A CFRIAWR is required for aircraft ground firing tests with the rotors turning, and for aircraft flight tests, both non-fuing (captive carriage) and firing. The guidelines include documentation on armament configurationldesign, analyses, component tests and aircraft ground tests. The documentation is required so the Govenunent can conduct an airworthiness assessment in order to ensure that U.S. Amy aircraft are safe to flight test. The requirements should be tailored based on the nature, magnitude, complexity and integration risk associated with the new or modified armament system. The difference between an \"airworthy\" system and a \"qualified\" system is the degree to which the system meets specification requirements and provides the system \"performance\" expected by the user. For a tutorial on the overall helicopter airworthiness qualification process, including flight releases, see ADS-5 1- HDBK. For purposes of this handbook, the terms \"armament\" and \"weapon\" are interchangeable.
02/abr/2017;AECTP-600;THE TEN STEP METHOD FOR EVALUATING THE ABILITY OF MATERIEL TO MEET EXTENDED LIFE REQUIREMENTS AND ROLE AND DEPLOYMENT CHANGES (APR 2007), ALLIED ENVIRONMENTAL CONDITIONS AND TEST PUBLICATION.; The purpose of this AECTP is to describe the process known as the Ten Step Method that has been developed to determine the ability of materiel to meet extended life requirements and role and deployment changes. The process is presented in this AECTP, which is a framework document. The purpose of the document is to acquaint project (programme) managers with the engineering principles involved when evaluating the implications of extended life requirements, and with the outline of a management tool that systematically addresses the issues to be resolved OTAN NATO
28/may/2020;AFMAN 91-201;AIR FORCE MANUAL EXPLOSIVES SAFETY STANDARDS;This manual establishes Air Force policy for explosives safety criteria, identifies hazards, and states safety precautions and rules when working with explosives.
08/may/2006;AM FAC-643;INSPECCION, PRESERVACION Y MANTENIMIENTO A CABLES DE ACERO UTILIZADOS EN EQUIPO ETTA;Alerta guaya se rompio en CATAM y el motor sufrio perdida total
16/mar/2021;AMC 20-22;Aeroplane Electrical Wiring Interconnection System Training Programme;EASA This AMC provides acceptable means of compliance for developing an enhanced Electrical Wiring Interconnection System (EWIS) training programme. The information in this AMC is derived from the best practices training developed through extensive research. This AMC is an effort by the Agency to officially endorse these best practices and to dispense this information industry-wide so that the benefits of this information can be effectively realised. Following this AMC will result in a training programme that will improve the awareness and skill level of the aviation personnel in EWIS production, modification, maintenance, inspection, alterations and repair. This AMC promotes a philosophy of training for all personnel who come into contact with aeroplane EWIS as part of their job and tailors the training for each workgroup to their particular needs.
01/abr/1980;AMS 2750;PYROMETRY;This specification establishes and defines requirements and procedures for control and testing of furnaces, ovens, salt baths, vacuum furnaces, refrigeration equipment, and allied pyrometric equipment used primarily for thermal treatment of semi-finished and finished metal parts.
10/ago/2012;ARP 1870;Aerospace Systems Electrical Bonding and Grounding for Electromagnetic Compatibility and Safety;SAE This document establishes the minimum requirements for the electrical bonding and grounding of electric, avionic, armament, communication, and electronic equipment installations for aeronautical and aerospace applications. The bonding and grounding requirements specified herein are to ensure that an adequate low resistance return path for electric, avionic, armament, communication and electronic equipment is achieved which can withstand operating conditions and corrosion. This is essential for the reduction of coupling of electromagnetic fields into or out of the equipment as well as for providing electrical stability to control the currents and/or voltages caused by static charges and discharges and for suppressing the hazardous effects thereof.
21/dic/2010;ARP 4754A;GUIDELINES FOR DEVELOPMENT OF CIVIL AIRCRAFT AND SYSTEMS;This document discusses the development of aircraft systems taking into account the overall aircraft operating environment and functions. This includes validation of requirements and verification of the design implementation for certification and product assurance. It provides practices for showing compliance with the regulations and serves to assist a company in developing and meeting its own internal standards by considering the guidelines herein.
01/dic/1996;ARP 4761;GUIDELINES AND METHODS FOR CONDUCTING THE SAFETY ASSESSMENT PROCESS ON CIVIL AIRBORNE SYSTEMS AND EQUIPMENT;SAE This document describes guidelines and methods of performing the safety assessment for certification of civil aircraft. It is primarily associated with showing compliance with FAR/JAR 25.1309. The methods outlined here identify a systematic means, but not the only means, to show compliance. A subset of this material may be applicable to non-25.1309 equipment. The concept of Aircraft Level Safety Assessment is introduced and the tools to accomplish this task are outlined. The overall aircraft operating environment is considered.
05/dic/2018;ARP 5414;Aircraft Lightning Zone;This SAE Aerospace Recommended Practice (ARP) defines lightning strike zones and provides guidelines for locating them on particular aircraft, together with examples. The zone definitions and location guidelines described herein are applicable to Parts 23, 25, 27, and 29 aircraft. The zone location guidelines and examples are representative of in-flight lightning exposures.
