Año;Vuelo;Resumen https://asn.flightsafety.org/wikibase/309118   https://www.ntsb.gov/Pages/AviationQueryv2.aspx;Avión;Víctimas
1954;781 de British Overseas Airways Corporation (ene) y 201 de South African Airways (abr);Ventanas Cuadradas. Después de que se recuperaran y analizaran fragmentos de los aviones siniestrados se encontró que, tal como se sospechaba, se trataba de un caso de fatiga del metal, un fenómeno poco conocido científicamente hasta ese momento. Hall sospechaba que esta era la causa de los desastres, pero debía demostrarlo con hechos. Para ello, se desmontó un De Havilland Comet y se construyó un tanque de agua alrededor del fuselaje, dejando las alas fuera, en el que el fuselaje quedó sumergido, para poder bombear agua a presión dentro del fuselaje y luego liberarla, mientras se sometían las alas a movimientos de abajo hacia arriba con pistones hidráulicos, todo esto para simular condiciones de vuelo y ciclos de presurización/despresurización de la cabina. Luego de un tiempo de someterse al fuselaje a este ajetreo, después de numerosos ciclos de presurización-despresurización, el fuselaje finalmente explotó en el tanque de agua, exponiendo claramente la falla, y se comprobó que el delgado metal del fuselaje alrededor de las ventanas rectangulares y grandes del Comet comenzaba a agrietarse y finalmente causaba una descompresión explosiva de la cabina y falla estructural catastrófica. Ahí se supo que la energía de la compresión fatigaba particularmente los ángulos rectos de las ventanillas, iniciándose allí las grietas, lo que llevó a la adopción de ventanillas de menor superficie y de forma oval, para evitar ángulos rectos y dispersar así la energía proveniente de la presurización. Nunca se ha sabido el por qué de Havilland utilizó aberturas rectangulares en el fuselaje del avión con mayor grado de presurización hasta la fecha. The Abell Committee (GB) focused on six potential aerodynamic and mechanical causes: control flutter (which had led to the loss of DH 108 prototypes), structural failure due to high loads or metal fatigue of the wing structure, failure of the powered flight controls, failure of the window panels leading to explosive decompression, or fire and other engine problems. The committee concluded that fire was the most likely cause of the problem, and changes were made to the aircraft to protect the engines and wings from damage that might lead to another fire.;Havilland DH-106 Comet;35 y 21
1963;214 de Pan Am;Rayo. Impacto de un rayo que encendió los vapores en uno de los tanques de combustible del avión, con un posible escape, causando una explosión que destruyó una de las alas. Generó también investigaciones sobre la seguridad de varios tipos de combustible de aviación y sobre métodos para reducir los vapores peligrosos en los tanques de combustible.;Boeing 707-121;81 de 81
1973;820 de Varig;Fuego. La causa del incendio había sido un cigarrillo mal apagado en uno de los baños minutos antes de aterrizar. Los sistemas del avión detectaron el humo, pero los tripulantes no lograron descubrir su origen y no tuvieron tiempo de actuar para combatir el fuego. Además, no contaban con las herramientas necesarias para apagar un incendio ni evitar la propagación del humo, lleno de monóxido de carbono. Hubo que esperar hasta el 1989 para que una empresa aérea, Northwest Airlines, lo prohíbiera. Y no fue por motivos de salud o seguridad, sino porque cayó en la cuenta de que se ganaba 10 minutos en las escalas si la tripulación no debía vaciar los ceniceros.;Boeing 707-345C;123 de 134
1985;123 de Japan Airlines;Reparación. Incidente en Itami 1978 la cola tocó tierra en el momento del aterrizaje, lo que dañó el mamparo de presión trasero. La reparación no cumplió los estándares de Boeing. Debían colocar una placa doble con dos hileras de remaches para cubrir el mamparo dañado, pero los ingenieros lo repararon usando dos placas, una con 2 hileras de remaches y otra con solo una hilera sencilla. Esto redujo la resistencia a la fatiga de las partes en un 70%. Boeing calculó que esta incorrecta instalación le permitiría efectuar al avión solo 10 000 despegues. Sin embargo, el avión había completado ya 12.319 despegues (7 años) después de la reparación y antes del fatal accidente.;Boeing 747-SR46;520 de 524
1988;243 de Aloha Airlines;Brecha. Al alcanzar la altitud de crucero sufrió una descompresión explosiva que provocó que parte del techo de la cabina se desprendiera, obligando al piloto a realizar un aterrizaje de emergencia. La jefa de cabina salió expulsada fuera del aparato en el acto. El avión venía con una vida útil del casco calculada por el fabricante en alrededor de 75.000 vuelos y se comprobó que esta aeronave llevaba 89.680 vuelos, creando fracturas en los paneles superiores de la sección delantera fatiga del metal.;Boeing 737-200;1 de 95
1989;232 de United Airlines;3 hidráulicos. En pleno vuelo el motor número 2 (montado en la cola) sufrió una explosión que destruyó los tres sistemas hidráulicos del avión. En estas condiciones y sin controles de vuelo, salvo los mandos de gases de los dos motores restantes, los pilotos pudieron controlar el avión varios minutos con las palancas de potencia hasta llegar al aeropuerto donde se estrelló durante un aterrizaje de emergencia en la pista en Sioux City (Iowa).;McDonnell Douglas DC-10-10;112 de 296
1989;254 de Varig;Ruta. El equipo introdujo una ruta incorrecta en la computadora de vuelo. En lugar de volar hacia su destino 029, el avión voló hacia el oeste 290 hacia un área remota de la selva amazónica. Finalmente se quedó sin combustible. El piloto hizo un aterrizaje de panza en la selva. 2 días para rescate. Posible distracción por escuchar partido de futbol Brasil Chile.;Boeing 737-241;13 de 54
1990;5390 de British Airways;Ventana. El piloto Tim Lancaster fue succionado fuera del avión tras la caída de su ventana y sobrevivió porque lo agarraron de los pies. El personal de mantenimiento cambió el parabrisas, algunos tornillos nuevos y otros de una revisión cuatro años antes, calibre correcto pero 2.5 mm más cortos (A211-7D) y otros de longitud correcta pero de calibre 0.65 mm inferior (A211-8C) a los especificados por el fabricante (A211-8D). El operario que realizó la sustitución se limitó a poner los mismos tornillos asumiendo incorrectamente que los que tenía puestos eran los adecuados. En este nuevo cambio, además, no se respetó el torque especificado. Pero dadas las condiciones de trabajo (era de madrugada, estaba oscuro y hacia frío en el taller), al técnico que realizó la reparación no le fue posible notar la diferencia.;BAC 1-11;0 de 87, 5 meses recup
1990;143 de Philippine Airlines;EWIS Explosión del tanque central de combustible cuando estaba siendo remolcado, no se encontró la fuente pero habían daños por rayos y cables en mal estado en el sistema de indicación de combustible. Temperatura exterior 35° con A/C funcionando por 45 minutos, tanque central vacío desde hacía 2 meses con vapores de combustible, explosión levanta el piso de cabina, rompe tanques de alas, incendio general. Chafing en cableado del flotador sensor de nivel del tanque, cables logo lights pasaron por los sellos de vapor del tanque, AC genera calor sobre los tanques. ;Boeing 737-300;8 de 120
1991;2574 de Continental Express;TURNO Botas deshieladoras. Los pernos se habían retirado del estabilizador horizontal durante el mantenimiento de la noche antes del accidente y, tras un cambio de turno, los tornillos no fueron reemplazados. El avión se estrelló en su segundo vuelo del día. La NTSB citó el fracaso de la línea aérea, al dejar que su personal de mantenimiento e inspección no realizara un mantenimiento adecuado y no siguiera los procedimientos de garantía de calidad. se desintegró en vuelo durante el descenso. El estabilizador horizontal, o parte superior de la cola tipo T, se había separado del fuselaje antes del impacto. El examen reveló la falta de los 47 tornillos de fijación que habrían fijado la superficie superior del conjunto del borde de ataque del lado izquierdo del estabilizador horizontal. Estos tornillos se habían retirado la noche anterior durante el mantenimiento programado. La Junta Nacional de Seguridad en el Transporte (NTSB) determinó que la causa probable del accidente fue la falta de cumplimiento por parte del personal de mantenimiento e inspección de Continental Express de los procedimientos adecuados de mantenimiento y control de calidad de las botas de deshielo del estabilizador horizontal del avión, lo que provocó la pérdida repentina en vuelo del borde de ataque izquierdo del estabilizador horizontal, parcialmente asegurado, y el grave cabeceo inmediato y la rotura del avión.;Embraer EMB 120 Brasilia;14 de 14
