ID;Tarea;Responsable;Inicio;Fin;Observaciones
1;Levantamiento de Requisitos;Director Proy;1/03/2026;20/03/2026;Fase de definición de alcance técnico.
1.1;Revisión de Normativa;Ing. Diseño;1/03/2026;7/03/2026;Análisis de especificaciones originales.
1.1.1;Estudio de Tolerancias;Técnico A;1/03/2026;4/03/2026;Verificación de ajustes mecánicos.
1.1.2;Análisis de Aleaciones;Metalurgista;5/03/2026;7/03/2026;Validación de composición química.
1.2;Definición de Cargas;Ing. Estructuras;8/03/2026;15/03/2026;Cálculo de esfuerzos en aterrizaje.
1.3;Hito: Requisitos Definidos;Cliente;20/03/2026;20/03/2026;Hito de aprobación de bases iniciales.
2;Bases de Certificación;Ing. Certificación;21/03/2026;15/04/2026;Establecimiento de criterios de seguridad.
2.1;Normativa CS-25;Especialista;21/03/2026;31/03/2026;Mapeo de párrafos de aeronavegabilidad.
2.1.1;Requisitos de Fatiga;Ing. Certificación;21/03/2026;25/03/2026;Sección de vida límite de componentes.
2.1.2;Requisitos de Materiales;Asistente;26/03/2026;31/03/2026;Conformidad con estándares aeroespaciales.
2.2;Plan de Cumplimiento;Director Proy;1/04/2026;15/04/2026;Documento de estrategia de certificación.
2.3;Reunión con Autoridad;Inspector;15/04/2026;15/04/2026;Hito: Bases validadas por autoridad.
3;Fase de Preparación y Mecanizado;Jefe Planta;16/04/2026;15/05/2026;Fabricación de probetas para ensayos.
3.1;Adquisición de Materia Prima;Compras;16/04/2026;25/04/2026;Compra de bloques de Titanio/Acero.
3.2;Mecanizado CNC;Operario Experto;26/04/2026;10/05/2026;Proceso de fresado y torneado.
3.2.1;Mecanizado de Eje Principal;Operario A;26/04/2026;2/05/2026;Corte de precisión de pieza central.
3.2.2;Mecanizado de Soporte;Operario B;3/05/2026;10/05/2026;Fresado de anclajes laterales.
3.3;Inspección de Calidad;Inspector;11/05/2026;15/05/2026;Verificación dimensional post-mecanizado.
4;Fase de Ensayos;Jefe Laboratorio;16/05/2026;10/07/2026;Ejecución de pruebas de validación.
4.1;Ensayos de Laboratorio;Técnico NDT;16/05/2026;31/05/2026;Pruebas controladas en laboratorio.
4.1.1;Ultrasonido (NDT);Técnico A;16/05/2026;22/05/2026;Detección de discontinuidades internas.
4.1.2;Líquidos Penetrantes;Técnico B;23/05/2026;31/05/2026;Detección de fisuras superficiales.
4.2;Ensayos en Tierra;Ing. Estructuras;1/06/2026;25/06/2026;Validación en banco de pruebas real.
4.2.1;Prueba de Caída;Técnico C;1/06/2026;10/06/2026;Simulación de impacto de aterrizaje.
4.2.2;Carga Límite;Técnico D;11/06/2026;20/06/2026;Prueba de resistencia bajo carga máxima.
4.2.3;Ensayo de Corrosión;Químico;21/06/2026;25/06/2026;Resistencia a agentes ambientales.
4.3;Ensayos en Vuelo;Piloto Pruebas;26/06/2026;10/07/2026;Operación en aeronave de prueba.
4.3.1;Ciclos de Retracción;Técnico A;26/06/2026;3/07/2026;Verificación de sistema hidráulico.
4.3.2;Extensión de Emergencia;Técnico B;4/07/2026;10/07/2026;Validación de sistemas redundantes.
4.4;Hito: Ensayos Completados;Calidad;10/07/2026;10/07/2026;Hito: Fin de toma de datos.
5;Emisión del Certificado;Autoridad Aeronáutica;11/07/2026;31/07/2026;Cierre administrativo y legal.
5.1;Revisión de Dossier;Inspector;11/07/2026;25/07/2026;Auditoría de todos los reportes técnicos.
5.2;Firma de Acta Final;Director Cert.;31/07/2026;31/07/2026;Hito: Emisión del certificado oficial.
